error,market_id,question
"HTTP 400 for https://clob.polymarket.com/prices-history?market=66431578832146851598775220954395781615051956253055240386337717850628602240805&startTs=1736130143&endTs=1738722143&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",521790,"Will Trump say ""Iran"" during his February 4 press conference with Netanyahu?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=59133145609568788502416197833455266591458183768350321640381532171780448031174&startTs=1737930940&endTs=1740522940&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",524357,"Will Karoline Leavitt say ""Iran"" during next White House press briefing?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=93503112984903783932675837770318090778589012130734741888476093654701845888030&startTs=1740032939&endTs=1742624939&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528759,Israeli military action against Iran by Friday?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=21453350419137524068108982803427927723007928603805535457524619576388467550821&startTs=1740032949&endTs=1742624949&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528764,Fact Check: Did the U.S. hit Iranian spy ship?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=80851366517111328820622087718488329132582929620008323317740223096708371015373&startTs=1740541510&endTs=1743133510&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",531640,"Will Trump say ""Iran"" during today's Iftar Dinner?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=86694432335734636396932856641385680255504755784199174894479712878282922533334&startTs=1740698740&endTs=1743290740&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",531897,Emmers vs. Miranda
"HTTP 400 for https://clob.polymarket.com/prices-history?market=109099146456188978192823972480172627473614560135423824743117322584183532139780&startTs=1740877815&endTs=1743469815&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",532762,"Will Trump say ""Iran"" during Executive Order signing today?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=803845747400147154016107199450275835775243225115825552805217620770156566042&startTs=1740900666&endTs=1743492666&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528763,US military action against Iran before April?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=113806191964330906304157188205249277745600606021695879898338715678637075979855&startTs=1740902174&endTs=1743494174&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528760,Israel military action against Iranian nuclear facility in March?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=54600502781843617970405893877696581517860380992931855114171384178072757933599&startTs=1740907332&endTs=1743499332&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",528761,Israel military action against Iran in March?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=8631102011871754720536782624876346160186036466589409734780091373426454758236&startTs=1741470857&endTs=1744062857&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",534857,"Will Trump say ""Iran"" 3+ times during Netanyahu events today?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=65705644848739509993599732002728458021293414197111410129457205885850830248407&startTs=1741727061&endTs=1744319061&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",535819,"Will Trump say ""Iran"" 3+ times during his cabinet meeting on April 10?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=37480005786077232168491728028667052018971672136251707676670457687048789921456&startTs=1741811181&endTs=1744403181&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",535981,"Will Karoline Leavitt say ""Iran"" 3+ times during next White House press briefing?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=63798294103556352138310065106043397996191783435681636975647527999860207250244&startTs=1743407293&endTs=1745999293&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",519847,Will Trump meet with Ali Khamenei in his first 100 days?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=98459411693464008582891330052775786892261102123444879805392238933791642554250&startTs=1743495325&endTs=1746087325&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",533151,US military action against Iran in April?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=54037998082616777102246557105375948457846700095211627173407852146807039540946&startTs=1743506545&endTs=1746098545&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",533211,Israel military action against Iran in April?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=44939317539819072767368114561139572498853620329975668979095413555067370578574&startTs=1746168251&endTs=1748760251&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",540916,Israel military action against Iran before June?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=64572482836577611258085510447352016661095667981978225611354285306981655491867&startTs=1746169795&endTs=1748761795&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",539681,Nothing Ever Happens: May
"HTTP 400 for https://clob.polymarket.com/prices-history?market=8127949561830402818445460502269430289379233506812329992891685697450962278248&startTs=1746170751&endTs=1748762751&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",525668,Will Iran enrich uranium to 90% before June?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=109681959945973300464568698402968596289258214226684818748321941747028805721376&startTs=1747193085&endTs=1749785085&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",532742,Israel military action against Iran before July?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=114122071509644379678018727908709560226618148003371446110114509806601493071694&startTs=1747969386&endTs=1750561386&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",532741,US military action against Iran before July?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=25009308950201377351599447846248861147611469669632550804193755818060327719237&startTs=1748757853&endTs=1751349853&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",537195,US-Iran nuclear deal before July?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=13601881438992046076384545815698980746193422101943340127484424647186341846280&startTs=1758479703&endTs=1761071703&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",527803,Will Ali Khamenei be the first leader out in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=23493618722085605426254346228092420685811419629377493431936477083821097122986&startTs=1758480031&endTs=1761072031&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",527799,Will Nicolás Maduro be the first leader out in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=104155929591293254783821621142148815530531533147484945233340134539982409033440&startTs=1764663047&endTs=1767255047&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",524150,Will Trump meet with Ali Khamenei in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=86964554239869134298526596083850367463176146674230300967120111145834668642528&startTs=1764664551&endTs=1767256551&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",521878,US-Iran nuclear deal in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=43541906415508679325276246713350983384464924175917785722017487178637607801263&startTs=1764664729&endTs=1767256729&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",520927,Iran Nuke in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=108468416668663017133298741485453125150952822149773262784582671647441799250111&startTs=1764664857&endTs=1767256857&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",519695,Will Iran close the Strait of Hormuz in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=87038633515950116363884113511213098399277554853324550313977836100885673437316&startTs=1764665559&endTs=1767257559&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",687779,U.S. operation to capture Maduro in 2025?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=85617545184252487912828869012434958019628518580347549156402424031969826279414&startTs=1764668977&endTs=1767260977&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",688265,Maduro in U.S. custody by December 31?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=99358420953315417833610527143974154757160380736245157123174710958777785607974&startTs=1765441350&endTs=1768033350&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",1096292,"Nicolás Maduro released from custody by January 9, 2026?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=24748787692148674467721380471093526911592120124083141304090990787224433180280&startTs=1769866299&endTs=1772458299&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",1465967,"Will US or Israel strike Iran on March 2, 2026?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=96019566727109921673613294266796469751129634681588314227501241682822173248361&startTs=1769930589&endTs=1772522589&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",1469316,Will Iran name a successor to Khamenei by March 2?
"HTTP 400 for https://clob.polymarket.com/prices-history?market=20671563278326194273629476841536443348129441258326357665995266071337784020692&startTs=1769956925&endTs=1772548925&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",1465968,"Will US or Israel strike Iran on March 3, 2026?"
"HTTP 400 for https://clob.polymarket.com/prices-history?market=74753836736840991270443732019659556710158468910097519189332179741440390804203&startTs=1770017811&endTs=1772609811&fidelity=1: {""error"":""invalid filters: 'startTs' and 'endTs' interval is too long""}
",1493097,"Will Iran announce a new supreme leader on March 3, 2026?"
